symbol,side,opened,entry,sl0,tp0,exitReason,exitBar,finalLevel,pnl
NBISUSDT,0,2026-06-29T10:56:37.0000000Z,256.63,253.319473,268.2168445,sl,0,0,-2.0549999999999999999999999999
FARTCOINUSDT,0,2026-06-29T12:27:06.0000000Z,0.1429,0.13964903,0.15427841,sl,1,3,1.3800000000000000000000000000
AIXBTUSDT,0,2026-06-29T13:16:48.0000000Z,0.01879,0.01811895,0.02243,sl,262,3,1.3800000000000000000000000000
MITOUSDT,0,2026-06-29T17:32:52.0000000Z,0.02476,0.02431283,0.02632508,sl,4,1,-0.12
我踏马来了USDT,0,2026-06-29T18:14:15.0000000Z,0.007816,0.00754775,0.00837395,sl,9,3,1.3800000000000000000000000000
BLESSUSDT,0,2026-06-29T18:18:32.0000000Z,0.008149,0.00746946,0.011133,sl,2,2,0.6300000000000000000000000000
HIVEUSDT,0,2026-06-29T18:24:05.0000000Z,0.05035,0.04924255,0.0527,sl,30,1,-0.12
STRKUSDT,0,2026-06-29T19:04:04.0000000Z,0.03112,0.03067996,0.03266013,sl,0,0,-2.2410154241645244215938303342
BASUSDT,0,2026-06-29T19:08:31.0000000Z,0.049961,0.046112,0.05796691,tp,11,3,23.916478453193490922919877504
CRWDUSDT,0,2026-06-29T20:09:05.0000000Z,746.64,730.3333824,803.7131616,sl,71,3,1.3799999999999999999999999998
我踏马来了USDT,0,2026-06-29T20:30:53.0000000Z,0.007816,0.00768188,0.00824519,sl,16,0,-2.6939508700102354145342886387
BILLUSDT,0,2026-06-29T21:17:11.0000000Z,0.04901,0.04623995,0.05531185,tp,10,3,19.167441338502346459906141604
DRIFTUSDT,0,2026-06-29T21:26:22.0000000Z,0.01636,0.01613031,0.01709502,sl,0,0,-2.2259596577017114914425427873
DRIFTUSDT,0,2026-06-29T21:31:21.0000000Z,0.01636,0.01590061,0.01731553,sl,5,0,-4.3320110024449877750611246943
BILLUSDT,0,2026-06-29T22:22:37.0000000Z,0.05211,0.05024238,0.05808639,sl,10,3,1.3800000000000000000000000000
CARVUSDT,0,2026-06-30T00:49:16.0000000Z,0.03626,0.03529265,0.04587,sl,13,3,1.3800000000000000000000000000
TAIKOUSDT,0,2026-06-30T00:49:33.0000000Z,0.0758,0.07330087,0.08454694,sl,0,0,-5.0655079155672823218997361478
DASHUSDT,0,2026-06-30T01:24:27.0000000Z,33.3,31.84,36.98,sl,94,0,-6.6965765765765765765765765766
METUSDT,0,2026-06-30T03:16:39.0000000Z,0.1718,0.16850488,0.18333293,sl,4,3,1.3799999999999999999999999999
SIRENUSDT,0,2026-06-30T04:14:56.0000000Z,0.0406,0.03961098,0.04376485,sl,0,0,-3.7740147783251231527093596059
BANANAS31USDT,0,2026-06-30T04:34:19.0000000Z,0.008353,0.00806846,0.009785,sl,30,3,1.3800000000000000000000000000
TQQQUSDT,0,2026-06-30T05:20:41.0000000Z,78.03,76.7471868,80.69825146,tp,42,3,5.0092800076893502499038831218
TQQQUSDT,0,2026-06-30T05:35:33.0000000Z,77.98,77.3390044,80.03118592,sl,11,0,-1.3530000000000000000000000000
RKLBUSDT,0,2026-06-30T05:50:42.0000000Z,102.29,100.510154,106.33914965,sl,11,0,-2.7299999999999999999999999999
IDUSDT,0,2026-06-30T06:11:44.0000000Z,0.03592,0.03502344,0.03905797,sl,5,3,1.3800000000000000000000000000
IDUSDT,0,2026-06-30T06:12:02.0000000Z,0.03579,0.0347478,0.03943772,sl,5,3,1.3800000000000000000000000000
